"","X","Y","Class","text"
"GO:0000184",-35.2214422414089,-31.2205781109165,"gene regulation","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"GO:0000209",-16.8532748445036,-22.9731930680226,"protein modification/signaling","protein polyubiquitination"
"GO:0000212",-46.1393616582546,-4.84137626927794,"cell cycle","meiotic spindle organization"
"GO:0000226",-43.8793566240845,-9.39658509688731,"cellular component organization","microtubule cytoskeleton organization"
"GO:0000244",-30.6594160691597,-31.3650564327763,"gene regulation","spliceosomal tri-snRNP complex assembly"
"GO:0000245",-30.1281178071832,-31.5331882651824,"cellular component organization","spliceosomal complex assembly"
"GO:0000255",-15.2620804236311,-60.682700581466,"metabolic process","allantoin metabolic process"
"GO:0000256",-5.62687906650727,-56.9155196995468,"metabolic process","allantoin catabolic process"
"GO:0000266",-7.85053707807805,-9.5445684606326,"cellular component organization","mitochondrial fission"
"GO:0000270",-3.00753085798828,-48.9185517859599,"metabolic process","peptidoglycan metabolic process"
"GO:0000271",-7.07650190575134,-49.6702394796347,"metabolic process","polysaccharide biosynthetic process"
"GO:0000272",-7.20873122479933,-49.6359223555981,"metabolic process","polysaccharide catabolic process"
"GO:0000278",-53.7485050648157,0.569191155389792,"cell cycle","mitotic cell cycle"
"GO:0000280",-48.9552888932263,-5.22634329683179,"cell cycle","nuclear division"
"GO:0000281",-50.9292310457867,-0.4543204354983,"cell cycle","mitotic cytokinesis"
"GO:0000288",-36.2598399541449,-31.2263662724673,"gene regulation","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"GO:0000289",-36.2309933984809,-31.1485044885592,"gene regulation","nuclear-transcribed mRNA poly(A) tail shortening"
"GO:0000290",-36.1333224931413,-31.332269639583,"gene regulation","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"GO:0000296",26.33521816943,-34.3705621321515,"transport","spermine transport"
"GO:0000301",8.92574763200748,-19.5558021582286,"transport","retrograde transport, vesicle recycling within Golgi"
"GO:0000302",-28.0794326045414,13.1133879088893,"stress response","response to reactive oxygen species"
"GO:0000303",-27.9191477757717,13.2584483225971,"stress response","response to superoxide"
"GO:0000304",-30.8967233089638,15.6528485709735,"stress response","response to singlet oxygen"
"GO:0000305",-27.8798976931665,13.2524947780924,"stress response","response to oxygen radical"
"GO:0000320",-47.6469828931029,-5.15893289864838,"cell cycle","re-entry into mitotic cell cycle"
"GO:0000338",-18.7617254729093,-23.3123778327423,"protein modification/signaling","protein deneddylation"
"GO:0000348",-29.8381076702807,-31.7768892165103,"cellular component organization","mRNA branch site recognition"
"GO:0000349",-30.1492057632548,-27.7115212945449,"cellular component organization","generation of catalytic spliceosome for first transesterification step"
"GO:0000350",-27.7375527954807,-34.4235681712371,"cellular component organization","generation of catalytic spliceosome for second transesterification step"
"GO:0000353",-30.6686341923582,-31.3554566751388,"gene regulation","formation of quadruple SL/U4/U5/U6 snRNP"
"GO:0000354",-26.9849531813982,-34.3993156061445,"cellular component organization","cis assembly of pre-catalytic spliceosome"
"GO:0000365",-30.960594808877,-31.1228460185055,"gene regulation","mRNA trans splicing, via spliceosome"
"GO:0000375",-30.9829336440139,-31.1004542654624,"gene regulation","RNA splicing, via transesterification reactions"
"GO:0000377",-31.0438236150306,-30.8141069310023,"gene regulation","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"GO:0000378",-34.1429257285416,-36.0823977091005,"metabolic process","RNA exon ligation"
"GO:0000379",-34.2096973607086,-36.040312116087,"gene regulation","tRNA-type intron splice site recognition and cleavage"
"GO:0000380",-33.0524759971523,-30.2043090955353,"gene regulation","alternative mRNA splicing, via spliceosome"
"GO:0000381",-33.4285891362594,-29.5219587345772,"gene regulation","regulation of alternative mRNA splicing, via spliceosome"
"GO:0000387",-30.6618156682332,-31.3652976593135,"gene regulation","spliceosomal snRNP assembly"
"GO:0000388",-27.7637887631679,-33.3106318476151,"cellular component organization","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)"
"GO:0000389",-28.1100075688854,-33.6075855642945,"cellular component organization","mRNA 3'-splice site recognition"
"GO:0000390",-27.6732690886974,-34.8913676242287,"gene regulation","spliceosomal complex disassembly"
"GO:0000393",-30.1235926765964,-27.5181839177327,"cellular component organization","spliceosomal conformational changes to generate catalytic conformation"
"GO:0000394",-34.2294304800668,-36.7356648253601,"gene regulation","RNA splicing, via endonucleolytic cleavage and ligation"
"GO:0000395",-29.8892151487497,-31.7420590499718,"gene regulation","mRNA 5'-splice site recognition"
"GO:0000398",-31.037921519756,-30.8718367185332,"gene regulation","mRNA splicing, via spliceosome"
"GO:0000409",-34.5258386135549,-24.6834361003423,"gene regulation","regulation of transcription by galactose"
"GO:0000411",-35.0949656826432,-23.9862422757013,"gene regulation","positive regulation of transcription by galactose"
"GO:0000413",-20.2133466733446,-26.3747867188695,"protein modification/signaling","protein peptidyl-prolyl isomerization"
"GO:0000422",-2.40660231857584,-14.7917895572422,"metabolic process","autophagy of mitochondrion"
"GO:0000423",-2.47651225950722,-14.7071972067407,"cellular component organization","mitophagy"
"GO:0000425",-2.86970878794674,-15.5957112865313,"metabolic process","pexophagy"
"GO:0000429",-34.3259871453118,-16.3528629990234,"gene regulation","carbon catabolite regulation of transcription from RNA polymerase II promoter"
"GO:0000430",-34.52722158048,-24.6832663538989,"gene regulation","regulation of transcription from RNA polymerase II promoter by glucose"
"GO:0000431",-34.7989324842256,-24.6900320198747,"gene regulation","regulation of transcription from RNA polymerase II promoter by galactose"
"GO:0000432",-34.7947660699141,-24.6874713522114,"gene regulation","positive regulation of transcription from RNA polymerase II promoter by glucose"
"GO:0000435",-34.7518085926454,-20.3538956881716,"gene regulation","positive regulation of transcription from RNA polymerase II promoter by galactose"
"GO:0000436",-34.7990857636044,-24.6788512351877,"gene regulation","carbon catabolite activation of transcription from RNA polymerase II promoter"
"GO:0000447",-31.962276808365,-34.6368138540492,"gene regulation","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000448",-31.9616360134239,-34.6405442792853,"gene regulation","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000451",-33.2334541374103,-36.0178027234684,"gene regulation","rRNA 2'-O-methylation"
"GO:0000454",-33.0593865628681,-35.5777462517859,"gene regulation","snoRNA guided rRNA pseudouridine synthesis"
"GO:0000455",-33.8034479133835,-36.1151351928683,"gene regulation","enzyme-directed rRNA pseudouridine synthesis"
"GO:0000460",-31.9957750943531,-34.4338519620904,"metabolic process","maturation of 5.8S rRNA"
"GO:0000461",-32.3899962425505,-34.6321162208514,"gene regulation","endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000462",-31.9458497774423,-34.6326769347652,"gene regulation","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000463",-32.0183110963963,-34.8490246591317,"gene regulation","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000466",-32.2570434732954,-34.6370237851142,"gene regulation","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000467",-32.7498200549705,-34.5615796364977,"gene regulation","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000470",-31.9143124779817,-34.7953878194359,"metabolic process","maturation of LSU-rRNA"
"GO:0000472",-32.418374873354,-34.9288573929609,"gene regulation","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000479",-31.9583981776586,-34.6343007757692,"gene regulation","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000480",-31.960009002132,-34.6382178679882,"gene regulation","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000481",-32.3902874667665,-34.6277274640262,"metabolic process","maturation of 5S rRNA"
"GO:0000491",-27.3298394882881,-33.0301611511249,"cellular component organization","small nucleolar ribonucleoprotein complex assembly"
"GO:0000492",-27.4441731825362,-33.7719340412235,"cellular component organization","box C/D snoRNP assembly"
"GO:0000493",-27.0766067178474,-33.9997605410371,"cellular component organization","box H/ACA snoRNP assembly"
"GO:0000494",-33.1601470192103,-34.4775317036896,"metabolic process","box C/D sno(s)RNA 3'-end processing"
"GO:0000495",-33.5014475071764,-34.6795360508828,"metabolic process","box H/ACA sno(s)RNA 3'-end processing"
"GO:0000512",-35.9133246774868,-32.2118677072608,"gene regulation","lncRNA-mediated post-transcriptional gene silencing"
"GO:0000578",37.3176478160609,9.90051544541313,"morphogenesis/development","embryonic axis specification"
"GO:0000706",-38.6941759934555,0.0142987234130036,"cell cycle","meiotic DNA double-strand break processing"
"GO:0000707",-43.4242605563886,-8.04812756920619,"cell cycle","meiotic DNA recombinase assembly"
"GO:0000708",-40.0584288732129,-0.185129428564073,"cell cycle","meiotic strand invasion"
"GO:0000709",-42.1391272181857,-2.04836112447136,"cell cycle","meiotic joint molecule formation"
"GO:0000710",-38.2680848503952,1.26724178108401,"stress response","meiotic mismatch repair"
"GO:0000711",-38.7305191992262,0.355238196250697,"cell cycle","meiotic DNA repair synthesis"
"GO:0000712",-43.2479588059035,-1.55645737197404,"cell cycle","resolution of meiotic recombination intermediates"
"GO:0000715",-39.5209771273064,-3.42174858419197,"cellular component organization","nucleotide-excision repair, DNA damage recognition"
"GO:0000717",-40.7962699321645,-2.44831668803192,"cellular component organization","nucleotide-excision repair, DNA duplex unwinding"
"GO:0000720",-38.0148666972864,2.21476707027222,"stress response","pyrimidine dimer repair by nucleotide-excision repair"
"GO:0000722",-37.8006421737922,-5.55596672800261,"cell cycle","telomere maintenance via recombination"
"GO:0000723",-36.755217900144,-6.09960878013708,"cell cycle","telomere maintenance"
"GO:0000724",-36.6828867827215,1.90946596365725,"stress response","double-strand break repair via homologous recombination"
"GO:0000725",-36.7264615416518,1.91475444510678,"stress response","recombinational repair"
"GO:0000727",-38.3606362076879,1.19661707738377,"stress response","double-strand break repair via break-induced replication"
"GO:0000729",-38.4368742190898,0.988541982880662,"stress response","DNA double-strand break processing"
"GO:0000730",-38.521469170129,-11.7422830650126,"cell cycle","DNA recombinase assembly"
"GO:0000731",-37.6229629988545,0.130021602148719,"stress response","DNA synthesis involved in DNA repair"
"GO:0000732",-38.3484875343174,-1.49294495141026,"cell cycle","DNA strand displacement"
"GO:0000741",-4.03934850679467,-19.2850185724125,"cellular component organization","karyogamy"
"GO:0000768",33.6757955944991,-6.47195253028732,"morphogenesis/development","syncytium formation by plasma membrane fusion"
"GO:0000819",-48.5005359605568,-7.01014664636361,"cell cycle","sister chromatid segregation"
"GO:0000820",6.492909922378,-61.8407571630392,"metabolic process","regulation of glutamine family amino acid metabolic process"
"GO:0000821",9.20309622357662,-57.431992483435,"metabolic process","regulation of arginine metabolic process"
"GO:0000902",22.4735892624436,-1.85289974136911,"morphogenesis/development","cell morphogenesis"
"GO:0000910",-51.5832310038165,-1.05044550378398,"cell cycle","cytokinesis"
"GO:0000912",-22.6771528775329,-5.42368929632945,"cellular component organization","assembly of actomyosin apparatus involved in cytokinesis"
"GO:0000915",-22.2538837466259,-5.4399076255324,"cell cycle","actomyosin contractile ring assembly"
"GO:0000916",-26.3437866201226,-10.6861354509765,"cell cycle","actomyosin contractile ring contraction"
"GO:0000917",-48.6835663033106,-6.55495607366893,"cell cycle","division septum assembly"
"GO:0000921",-36.2584529121917,-13.8056541405679,"cellular component organization","septin ring assembly"
"GO:0000956",-35.5992130651165,-31.3435085756697,"gene regulation","nuclear-transcribed mRNA catabolic process"
"GO:0000957",-34.7526055767424,-28.4808170585662,"metabolic process","mitochondrial RNA catabolic process"
"GO:0000958",-35.144817918041,-33.2005080171095,"gene regulation","mitochondrial mRNA catabolic process"
"GO:0000959",-32.7740628713493,-37.8156508408554,"metabolic process","mitochondrial RNA metabolic process"
"GO:0000960",-35.4916119746218,-25.6801558866756,"metabolic process","regulation of mitochondrial RNA catabolic process"
"GO:0000961",-35.8249391751866,-23.1442377175968,"metabolic process","negative regulation of mitochondrial RNA catabolic process"
"GO:0000962",-34.994984540692,-13.9243759556103,"metabolic process","positive regulation of mitochondrial RNA catabolic process"
"GO:0000963",-33.5740769939986,-37.197129402208,"gene regulation","mitochondrial RNA processing"
"GO:0000964",-33.9398047158876,-35.7712439260914,"gene regulation","mitochondrial RNA 5'-end processing"
"GO:0000965",-33.8832558277702,-35.3962119383952,"gene regulation","mitochondrial RNA 3'-end processing"
"GO:0000966",-33.9652636395603,-35.9795705087897,"gene regulation","RNA 5'-end processing"
"GO:0000967",-32.435677672216,-34.9414112674198,"gene regulation","rRNA 5'-end processing"
"GO:0000968",-34.1348719615663,-36.062895015906,"gene regulation","tRNA exon ligation"
"GO:0000972",-37.0856882052787,-18.3763753004289,"gene regulation","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery"
"GO:0000973",-31.1014199012674,-21.0242437960488,"gene regulation","post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery"
"GO:0001079",-33.4271328557945,-22.6482966572516,"gene regulation","nitrogen catabolite regulation of transcription from RNA polymerase II promoter"
"GO:0001080",-35.0802921313973,-24.2877505605675,"gene regulation","nitrogen catabolite activation of transcription from RNA polymerase II promoter"
"GO:0001100",-56.824327949504,-0.496256700157079,"cell cycle","negative regulation of exit from mitosis"
"GO:0001101",-31.4519251514586,20.1159277575433,"response to stimulus","response to acid chemical"
"GO:0001109",-36.9281075379233,-18.3836727651085,"gene regulation","promoter clearance during DNA-templated transcription"
"GO:0001111",-36.6311657982504,-18.925412105905,"gene regulation","RNA polymerase II promoter clearance"
"GO:0001112",-37.116933802918,-17.879519177986,"gene regulation","DNA-templated transcription open complex formation"
"GO:0001113",-37.1112790208588,-17.7187449201516,"gene regulation","transcription open complex formation at RNA polymerase II promoter"
"GO:0001120",-34.3872003812896,-25.0395749174231,"cellular component organization","protein-DNA complex remodeling"
"GO:0001172",-34.9377776252758,-31.0331657901972,"gene regulation","RNA-templated transcription"
"GO:0001173",-36.7290591866173,-23.6272461419016,"gene regulation","DNA-templated transcriptional start site selection"
"GO:0001174",-36.8910052837213,-19.1601341048734,"gene regulation","transcriptional start site selection at RNA polymerase II promoter"
"GO:0001178",-36.8858468644748,-22.8288503002113,"gene regulation","regulation of transcriptional start site selection at RNA polymerase II promoter"
"GO:0001188",-34.2303131882656,-24.6288779188404,"gene regulation","RNA polymerase I preinitiation complex assembly"
"GO:0001192",-33.5262180405684,-17.3281485236903,"metabolic process","maintenance of transcriptional fidelity during transcription elongation"
"GO:0001193",-28.7962691587787,-29.0291417597969,"metabolic process","maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II"
"GO:0001325",-38.3084109015462,-1.89532117415207,"cell cycle","formation of extrachromosomal circular DNA"
"GO:0001408",25.7911465884137,-34.3734201767685,"transport","guanine nucleotide transport"
"GO:0001501",34.1461837686329,8.16064107315569,"morphogenesis/development","skeletal system development"
"GO:0001502",32.3256339720852,9.85106505714951,"morphogenesis/development","cartilage condensation"
"GO:0001503",30.0353310541519,11.745442225694,"morphogenesis/development","ossification"
"GO:0001504",17.4962250233706,-29.306288705176,"neural related process","neurotransmitter uptake"
"GO:0001507",1.28935931722553,-47.8809849846517,"metabolic process","acetylcholine catabolic process in synaptic cleft"
"GO:0001508",32.7511719679233,-18.5202211689368,"neural related process","action potential"
"GO:0001510",-31.4731620216834,-35.0005765684268,"gene regulation","RNA methylation"
"GO:0001514",-31.0654750256138,-41.3125987970493,"gene regulation","selenocysteine incorporation"
"GO:0001516",11.082662723452,-55.5733684083664,"metabolic process","prostaglandin biosynthetic process"
"GO:0001519",5.47019036331143,-62.0569805618099,"metabolic process","peptide amidation"
"GO:0001522",-33.7324596646572,-35.888042455842,"metabolic process","pseudouridine synthesis"
"GO:0001523",6.49853876327134,-52.344990078703,"metabolic process","retinoid metabolic process"
"GO:0001525",44.3115326963614,23.9416001357353,"morphogenesis/development","angiogenesis"
"GO:0001539",13.6671194784906,-10.9733456656156,"other","cilium or flagellum-dependent cell motility"
"GO:0001541",49.7328512303544,3.21918970491069,"morphogenesis/development","ovarian follicle development"
"GO:0001542",45.1579391792392,2.24405570864536,"multicellular organismal process","ovulation from ovarian follicle"
"GO:0001543",44.250809518097,2.45159159260797,"morphogenesis/development","ovarian follicle rupture"
"GO:0001544",40.851152816144,6.04499254624827,"cell cycle","initiation of primordial ovarian follicle growth"
"GO:0001545",26.4383869596479,4.8487926774744,"morphogenesis/development","primary ovarian follicle growth"
"GO:0001546",9.68784086104787,0.382651618541158,"morphogenesis/development","preantral ovarian follicle growth"
"GO:0001547",48.5753611316491,2.56078637979346,"morphogenesis/development","antral ovarian follicle growth"
"GO:0001549",12.0793346709309,3.66004826817009,"morphogenesis/development","cumulus cell differentiation"
"GO:0001550",10.4744694524378,0.415607752105413,"morphogenesis/development","ovarian cumulus expansion"
"GO:0001552",32.6170787886756,3.97797718861406,"morphogenesis/development","ovarian follicle atresia"
"GO:0001553",48.9858724779476,2.44554695920101,"morphogenesis/development","luteinization"
"GO:0001554",47.9473755303592,3.8453789095461,"morphogenesis/development","luteolysis"
"GO:0001555",30.7416049017093,-9.95889555336127,"morphogenesis/development","oocyte growth"
"GO:0001556",26.2426457522373,3.2648581955609,"morphogenesis/development","oocyte maturation"
"GO:0001558",45.3563420788674,-10.5083046820882,"cellular component organization","regulation of cell growth"
"GO:0001560",9.87487143928062,-5.61974334877795,"cellular component organization","regulation of cell growth by extracellular stimulus"
"GO:0001561",10.3760198202216,-59.4621140805441,"metabolic process","fatty acid alpha-oxidation"
"GO:0001562",-23.6260363620982,41.8505240382431,"response to stimulus","response to protozoan"
"GO:0001568",44.7641699914675,23.4503665202758,"morphogenesis/development","blood vessel development"
"GO:0001569",41.2932377310462,11.5542370853031,"morphogenesis/development","branching involved in blood vessel morphogenesis"
"GO:0001570",44.5467194718016,22.6728692968648,"morphogenesis/development","vasculogenesis"
"GO:0001572",2.60781868229508,-48.8764028016026,"metabolic process","lactosylceramide biosynthetic process"
"GO:0001573",1.09518956930049,-48.4061352477281,"metabolic process","ganglioside metabolic process"
"GO:0001574",0.695908706288157,-48.3162774149954,"metabolic process","ganglioside biosynthetic process"
"GO:0001575",2.43301270588384,-48.8664905380552,"metabolic process","globoside metabolic process"
"GO:0001576",1.61599189190159,-49.2371444191928,"metabolic process","globoside biosynthetic process"
"GO:0001578",-33.1087697148609,-9.55856807032727,"cellular component organization","microtubule bundle formation"
"GO:0001579",22.0808653525966,-37.1647919091033,"transport","medium-chain fatty acid transport"
"GO:0001580",26.8231184052902,-21.5227977117744,"response to stimulus","detection of chemical stimulus involved in sensory perception of bitter taste"
"GO:0001581",8.51792273556409,-12.8452836768881,"response to stimulus","detection of chemical stimulus involved in sensory perception of sour taste"
"GO:0001582",15.2342818459163,-25.0894146115322,"response to stimulus","detection of chemical stimulus involved in sensory perception of sweet taste"
"GO:0001649",30.0121178625447,12.1948632834101,"morphogenesis/development","osteoblast differentiation"
"GO:0001654",37.2047574281103,3.7142456808785,"morphogenesis/development","eye development"
"GO:0001655",47.7165108700386,4.66677665792752,"morphogenesis/development","urogenital system development"
"GO:0001656",43.6858253269369,14.7838766762594,"morphogenesis/development","metanephros development"
"GO:0001657",42.738286177224,14.6645619206961,"morphogenesis/development","ureteric bud development"
"GO:0001658",41.9870435634696,12.8215074238238,"morphogenesis/development","branching involved in ureteric bud morphogenesis"
"GO:0001659",23.6452996183648,8.64758289640506,"response to stimulus","temperature homeostasis"
"GO:0001660",1.51661473488446,32.1351170087757,"multicellular organismal process","fever generation"
"GO:0001661",34.3099225579684,-15.452255135972,"neural related process","conditioned taste aversion"
"GO:0001662",33.4805036767438,-14.3504419310252,"neural related process","behavioral fear response"
"GO:0001666",-30.669088691392,14.8309288886059,"stress response","response to hypoxia"
"GO:0001667",38.956033092726,33.2944101415507,"other","ameboidal-type cell migration"
"GO:0001675",-3.52486299874164,-12.26919387502,"cellular component organization","acrosome assembly"
"GO:0001676",10.2494925020548,-56.0726318064098,"metabolic process","long-chain fatty acid metabolic process"
"GO:0001678",0.580055703932067,-5.93078919537295,"other","intracellular glucose homeostasis"
"GO:0001680",-33.9636644463056,-35.7746275684688,"gene regulation","tRNA 3'-terminal CCA addition"
"GO:0001682",-34.1129495544346,-36.3134468629383,"gene regulation","tRNA 5'-leader removal"
"GO:0001692",4.54377248629391,-57.7546141887387,"metabolic process","histamine metabolic process"
"GO:0001694",3.58151957288672,-58.5211452559056,"metabolic process","histamine biosynthetic process"
"GO:0001695",-0.187552788630266,-58.5018733983942,"metabolic process","histamine catabolic process"
"GO:0001696",21.6919610220917,-31.990156703355,"transport","gastric acid secretion"
"GO:0001698",22.0990312676788,-34.9701244248376,"transport","gastrin-induced gastric acid secretion"
"GO:0001701",39.2175252377264,5.91482584399922,"morphogenesis/development","in utero embryonic development"
"GO:0001702",36.3228670038482,9.76439361669437,"morphogenesis/development","gastrulation with mouth forming second"
"GO:0001704",36.2186671467861,12.3812509196294,"morphogenesis/development","formation of primary germ layer"
"GO:0001705",42.2289199419848,11.6007027756081,"morphogenesis/development","ectoderm formation"
"GO:0001706",36.2049622698958,12.3709596074587,"morphogenesis/development","endoderm formation"
"GO:0001707",36.1310489300884,12.4063022740916,"morphogenesis/development","mesoderm formation"
"GO:0001708",33.0525908754726,13.4368404421603,"morphogenesis/development","cell fate specification"
"GO:0001709",35.2853190088788,6.9032070478854,"morphogenesis/development","cell fate determination"
"GO:0001710",34.467812907939,13.2622896902614,"morphogenesis/development","mesodermal cell fate commitment"
"GO:0001711",34.4264117102631,13.29315196988,"morphogenesis/development","endodermal cell fate commitment"
"GO:0001712",24.8400006203273,-0.656807578185098,"morphogenesis/development","ectodermal cell fate commitment"
"GO:0001714",36.445102694307,9.39251589919449,"morphogenesis/development","endodermal cell fate specification"
"GO:0001715",1.30038063151325,-26.9298179590019,"morphogenesis/development","ectodermal cell fate specification"
"GO:0001717",-33.8332330362143,-36.8871725057151,"metabolic process","conversion of seryl-tRNAsec to selenocys-tRNAsec"
"GO:0001731",-27.9128009417252,-35.6793597262528,"cellular component organization","formation of translation preinitiation complex"
"GO:0001732",-27.869334428657,-36.3808234406223,"cellular component organization","formation of cytoplasmic translation initiation complex"
"GO:0001736",31.3726585705337,4.44952655931617,"cellular component organization","establishment of planar polarity"
"GO:0001738",31.0949210334407,4.2333631191375,"morphogenesis/development","morphogenesis of a polarized epithelium"
"GO:0001743",47.2205051462568,12.7297966459293,"morphogenesis/development","lens placode formation"
"GO:0001754",35.8704813945044,6.55448746157041,"morphogenesis/development","eye photoreceptor cell differentiation"
"GO:0001755",31.4472040109884,16.9138440764071,"morphogenesis/development","neural crest cell migration"
"GO:0001756",37.4642661421366,10.2263306236191,"morphogenesis/development","somitogenesis"
"GO:0001757",37.3287021244625,9.92368347131714,"morphogenesis/development","somite specification"
"GO:0001759",43.3003710807278,10.9408135392037,"morphogenesis/development","organ induction"
"GO:0001762",22.73434767709,-36.7547335753909,"transport","beta-alanine transport"
"GO:0001763",41.5816786715137,10.9564503844012,"morphogenesis/development","morphogenesis of a branching structure"
"GO:0001764",34.0682089335197,33.7838337387957,"neural related process","neuron migration"
"GO:0001765",6.00634854546365,-16.3449416734268,"cellular component organization","membrane raft assembly"
"GO:0001766",6.26920304143319,-16.4012824155037,"cellular component organization","membrane raft polarization"
"GO:0001767",17.8062682032808,-4.33461977776303,"immune system process","establishment of lymphocyte polarity"
"GO:0001768",16.9941658804644,9.46735577239459,"immune system process","establishment of T cell polarity"
"GO:0001770",2.46015006243969,2.59045284264355,"immune system process","establishment of natural killer cell polarity"
"GO:0001771",4.53029613927589,42.0053585819593,"immune system process","immunological synapse formation"
"GO:0001773",5.04525773260381,40.0368150271341,"immune system process","myeloid dendritic cell activation"
"GO:0001774",0.749182256472258,41.0418887140908,"immune system process","microglial cell activation"
