term_name,Group,QC
antigen processing and presentation of endogenous peptide antigen,immune system process,+
antigen processing and presentation of exogenous peptide antigen,immune system process,+
antigen processing and presentation of peptide antigen,immune system process,+
antigen processing and presentation of peptide antigen via MHC class I,immune system process,+
antigen receptor-mediated signaling pathway,immune system process,+
antimicrobial humoral immune response mediated by antimicrobial peptide,immune system process,+
antimicrobial humoral response,immune system process,+
antiviral innate immune response,viral related process,+
aorta development,morphogenesis/development,+
aortic valve development,morphogenesis/development,+
apical junction complex,cell adhesion,+
apical part of cell,cellular component organization,+
apoptotic cell clearance,transport,+
apoptotic mitochondrial changes,cell death,+
apoptotic process involved in development,cell death,+
apoptotic signaling pathway,cell death,+
aromatic compound biosynthetic process,metabolic process,+
artery development,morphogenesis/development,+
artery morphogenesis,morphogenesis/development,+
aspartate family amino acid biosynthetic process,metabolic process,+
astrocyte activation,neural related process,+
astrocyte development,neural related process,+
astrocyte differentiation,neural related process,+
ATP-dependent activity,other,+
"ATP-dependent activity, acting on RNA",other,+
ATP-dependent chromatin remodeler activity,cell cycle,+
ATP-dependent DNA damage sensor activity,stress response,+
ATP biosynthetic process,metabolic process,+
ATP hydrolysis activity,metabolic process,+
ATP metabolic process,metabolic process,+
ATP synthesis coupled electron transport,metabolic process,+
ATPase binding,metabolic process,+
ATPase regulator activity,protein modification/signaling,+
atrioventricular canal development,morphogenesis/development,+
atrioventricular valve morphogenesis,morphogenesis/development,+
attachment of mitotic spindle microtubules to kinetochore,cell cycle,+
attachment of spindle microtubules to kinetochore,cell cycle,+
autonomic nervous system development,morphogenesis/development,+
autophagosome assembly,cellular component organization,+
autophagosome maturation,metabolic process,+
autophagosome organization,cellular component organization,+
autophagy,metabolic process,+
autophagy of mitochondrion,metabolic process,+
axis elongation,morphogenesis/development,+
axo-dendritic transport,transport,+
axon ensheathment,neural related process,+
axon guidance,neural related process,+
axonogenesis,neural related process,+
B cell differentiation,immune system process,+
B cell homeostasis,immune system process,+
B cell proliferation,immune system process,+
basal part of cell,cellular component organization,+
basal RNA polymerase II transcription machinery binding,gene regulation,+
base-excision repair,stress response,+
basement membrane,cellular component organization,+
basement membrane organization,cellular component organization,+
behavior,neural related process,+
behavioral response to cocaine,neural related process,+
beta-catenin-TCF complex,gene regulation,+
beta-catenin binding,cell adhesion,+
biogenic amine biosynthetic process,metabolic process,+
biogenic amine metabolic process,metabolic process,+
biological process involved in interaction with host,response to stimulus,+
biological process involved in interaction with symbiont,response to stimulus,+
biological process involved in symbiotic interaction,response to stimulus,+
bitter taste receptor activity,receptor related process,+
blastocyst development,morphogenesis/development,+
blastocyst formation,morphogenesis/development,+
blood circulation,multicellular organismal process,+
blood coagulation,multicellular organismal process,+
blood vessel development,morphogenesis/development,+
blood vessel diameter maintenance,multicellular organismal process,+
blood vessel endothelial cell migration,multicellular organismal process,+
blood vessel endothelial cell proliferation involved in sprouting angiogenesis,cell cycle,+
blood vessel morphogenesis,morphogenesis/development,+
blood vessel remodeling,morphogenesis/development,+
BMP signaling pathway,protein modification/signaling,+
bone development,morphogenesis/development,+
bone mineralization,multicellular organismal process,+
bone morphogenesis,morphogenesis/development,+
bone remodeling,morphogenesis/development,+
bone trabecula morphogenesis,morphogenesis/development,+
branched-chain amino acid catabolic process,metabolic process,+
branching involved in blood vessel morphogenesis,morphogenesis/development,+
branching involved in mammary gland duct morphogenesis,morphogenesis/development,+
branching morphogenesis of an epithelial tube,morphogenesis/development,+
brown fat cell differentiation,morphogenesis/development,+
brush border,cellular component organization,+
C-acyltransferase activity,metabolic process,+
C4-dicarboxylate transmembrane transporter activity,transport,+
cadherin binding,cell adhesion,+
cadherin binding involved in cell-cell adhesion,cell adhesion,+
calcium-dependent protein binding,protein modification/signaling,+
calcium-mediated signaling,protein modification/signaling,+
calcium ion binding,other,+
calcium ion homeostasis,other,+
calcium ion transmembrane import into cytosol,transport,+
calcium ion transport,transport,+
calmodulin binding,protein modification/signaling,+
camera-type eye development,morphogenesis/development,+
cAMP response element binding,gene regulation,+
canonical glycolysis,metabolic process,+
canonical Wnt signaling pathway,receptor related process,+
carbohydrate biosynthetic process,metabolic process,+
carbohydrate derivative biosynthetic process,metabolic process,+
carbohydrate derivative catabolic process,metabolic process,+
carbohydrate derivative transport,transport,+
carbohydrate metabolic process,metabolic process,+
carbohydrate transmembrane transport,transport,+
carbohydrate transport,transport,+
"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",metabolic process,+
carbon-oxygen lyase activity,metabolic process,+
carboxylic acid biosynthetic process,metabolic process,+
carboxylic acid catabolic process,metabolic process,+
carboxylic acid metabolic process,metabolic process,+
carboxylic acid transmembrane transport,transport,+
carboxylic acid transmembrane transporter activity,transport,+
cardiac chamber development,morphogenesis/development,+
cardiac chamber morphogenesis,morphogenesis/development,+
cardiac muscle cell apoptotic process,cell death,+
cardiac muscle cell proliferation,cell cycle,+
cardiac muscle hypertrophy,multicellular organismal process,+
cardiac muscle tissue development,morphogenesis/development,+
cardiac myofibril assembly,cellular component organization,+
cardiac septum development,morphogenesis/development,+
cardiac ventricle development,morphogenesis/development,+
cardiocyte differentiation,morphogenesis/development,+
"catalytic activity, acting on a nucleic acid",metabolic process,+
"catalytic activity, acting on DNA",gene regulation,+
"catalytic activity, acting on RNA",gene regulation,+
catalytic step 2 spliceosome,gene regulation,+
CCR chemokine receptor binding,immune system process,+
"CD4-positive, alpha-beta T cell activation",immune system process,+
"CD4-positive, alpha-beta T cell differentiation",immune system process,+
"CD4-positive, alpha-beta T cell differentiation involved in immune response",immune system process,+
CDP-diacylglycerol metabolic process,metabolic process,+
cell-cell adhesion,cell adhesion,+
cell-cell adhesion via plasma-membrane adhesion molecules,cell adhesion,+
cell-cell fusion,cellular component organization,+
cell-cell junction organization,cellular component organization,+
cell-cell signaling by wnt,protein modification/signaling,+
cell-matrix adhesion,cell adhesion,+
cell-substrate adhesion,cell adhesion,+
cell-substrate junction,cell adhesion,+
cell-substrate junction assembly,cellular component organization,+
cell-substrate junction organization,cellular component organization,+
cell activation involved in immune response,immune system process,+
cell adhesion mediated by integrin,cell adhesion,+
cell adhesion mediator activity,cell adhesion,+
cell adhesion molecule binding,cell adhesion,+
cell adhesion molecule production,cell adhesion,+
cell chemotaxis,response to stimulus,+
cell cortex,cellular component organization,+
cell cycle checkpoint signaling,cell cycle,+
cell cycle DNA replication,cell cycle,+
cell cycle G1/S phase transition,cell cycle,+
cell cycle G2/M phase transition,cell cycle,+
cell cycle phase transition,cell cycle,+
cell death,cell death,+
cell differentiation involved in kidney development,morphogenesis/development,+
cell differentiation involved in metanephros development,morphogenesis/development,+
cell division,cell cycle,+
cell fate commitment,morphogenesis/development,+
cell growth,cellular component organization,+
cell junction assembly,cellular component organization,+
cell junction disassembly,cellular component organization,+
cell junction maintenance,cellular component organization,+
cell junction organization,cellular component organization,+
cell killing,immune system process,+
cell maturation,morphogenesis/development,+
cell migration,multicellular organismal process,+
cell migration involved in sprouting angiogenesis,multicellular organismal process,+
cell morphogenesis,morphogenesis/development,+
cell motility,other,+
cell projection assembly,cellular component organization,+
cell projection membrane,cellular component organization,+
cell proliferation involved in kidney development,cell cycle,+
cell redox homeostasis,other,+
cell surface pattern recognition receptor signaling pathway,immune system process,+
cell surface toll-like receptor signaling pathway,immune system process,+
cellular aldehyde metabolic process,metabolic process,+
cellular component assembly involved in morphogenesis,morphogenesis/development,+
cellular component disassembly,cellular component organization,+
cellular component maintenance,cellular component organization,+
cellular detoxification,response to stimulus,+
cellular extravasation,immune system process,+
cellular glucuronidation,metabolic process,+
cellular homeostasis,other,+
cellular ketone metabolic process,metabolic process,+
cellular lipid catabolic process,metabolic process,+
cellular metabolic compound salvage,metabolic process,+
cellular modified amino acid biosynthetic process,metabolic process,+
cellular modified amino acid metabolic process,metabolic process,+
cellular nitrogen compound catabolic process,metabolic process,+
cellular pigmentation,morphogenesis/development,+
cellular respiration,metabolic process,+
cellular response to abiotic stimulus,response to stimulus,+
cellular response to alcohol,response to stimulus,+
cellular response to aldehyde,response to stimulus,+
cellular response to amino acid starvation,stress response,+
cellular response to amyloid-beta,stress response,+
cellular response to angiotensin,response to stimulus,+
cellular response to arsenic-containing substance,response to stimulus,+
cellular response to biotic stimulus,response to stimulus,+
cellular response to cAMP,response to stimulus,+
cellular response to chemical stress,stress response,+
cellular response to chemokine,response to stimulus,+
cellular response to corticosteroid stimulus,response to stimulus,+
cellular response to cytokine stimulus,immune system process,+
cellular response to decreased oxygen levels,stress response,+
cellular response to dexamethasone stimulus,response to stimulus,+
cellular response to dsRNA,immune system process,+
cellular response to environmental stimulus,response to stimulus,+
cellular response to epidermal growth factor stimulus,response to stimulus,+
cellular response to estrogen stimulus,response to stimulus,+
cellular response to external stimulus,response to stimulus,+
cellular response to extracellular stimulus,response to stimulus,+
cellular response to fatty acid,response to stimulus,+
cellular response to fibroblast growth factor stimulus,response to stimulus,+
cellular response to fluid shear stress,stress response,+
cellular response to glucocorticoid stimulus,response to stimulus,+
cellular response to glucose starvation,stress response,+
cellular response to growth factor stimulus,response to stimulus,+
cellular response to heat,stress response,+
cellular response to hepatocyte growth factor stimulus,response to stimulus,+
cellular response to hydrogen peroxide,stress response,+
cellular response to hypoxia,stress response,+
cellular response to increased oxygen levels,response to stimulus,+
cellular response to inorganic substance,response to stimulus,+
cellular response to insulin stimulus,response to stimulus,+
cellular response to interferon-beta,immune system process,+
cellular response to interleukin-1,immune system process,+
cellular response to interleukin-17,immune system process,+
cellular response to interleukin-4,immune system process,+
cellular response to interleukin-6,immune system process,+
cellular response to interleukin-7,immune system process,+
cellular response to ionizing radiation,stress response,+
cellular response to ketone,response to stimulus,+
cellular response to lectin,response to stimulus,+
cellular response to leucine,response to stimulus,+
cellular response to leukemia inhibitory factor,immune system process,+
cellular response to light stimulus,response to stimulus,+
cellular response to lipid,response to stimulus,+
cellular response to lipopolysaccharide,immune system process,+
cellular response to lipoprotein particle stimulus,response to stimulus,+
cellular response to mechanical stimulus,response to stimulus,+
cellular response to metal ion,response to stimulus,+
cellular response to molecule of bacterial origin,immune system process,+
cellular response to monoamine stimulus,response to stimulus,+
cellular response to nerve growth factor stimulus,response to stimulus,+
cellular response to nitrogen compound,response to stimulus,+
cellular response to nitrogen starvation,stress response,+
cellular response to nutrient,response to stimulus,+
cellular response to nutrient levels,response to stimulus,+
cellular response to organic cyclic compound,response to stimulus,+
cellular response to organonitrogen compound,response to stimulus,+
cellular response to osmotic stress,stress response,+
cellular response to oxidative stress,stress response,+
cellular response to oxygen levels,stress response,+
cellular response to peptide,response to stimulus,+
cellular response to peptide hormone stimulus,response to stimulus,+
cellular response to prostaglandin E stimulus,response to stimulus,+
cellular response to reactive oxygen species,stress response,+
cellular response to retinoic acid,response to stimulus,+
cellular response to salt,response to stimulus,+
cellular response to starvation,stress response,+
cellular response to sterol depletion,stress response,+
cellular response to topologically incorrect protein,stress response,+
cellular response to toxic substance,response to stimulus,+
cellular response to transforming growth factor beta stimulus,immune system process,+
cellular response to tumor necrosis factor,immune system process,+
cellular response to type I interferon,immune system process,+
cellular response to type II interferon,immune system process,+
cellular response to unfolded protein,stress response,+
cellular response to UV,stress response,+
cellular response to vascular endothelial growth factor stimulus,response to stimulus,+
cellular response to virus,viral related process,+
cellular response to xenobiotic stimulus,response to stimulus,+
cellular senescence,stress response,+
central nervous system neuron development,neural related process,+
central nervous system neuron differentiation,neural related process,+
centromere complex assembly,cell cycle,+
centrosome cycle,cell cycle,+
centrosome separation,cell cycle,+
cerebellar cortex development,morphogenesis/development,+
channel activity,transport,+
chaperone-mediated autophagy,metabolic process,+
chaperone-mediated protein complex assembly,cellular component organization,+
chaperone-mediated protein folding,protein modification/signaling,+
chaperone cofactor-dependent protein refolding,other,+
chemical homeostasis,other,+
chemokine-mediated signaling pathway,receptor related process,+
chemokine production,immune system process,+
chemokine receptor binding,immune system process,+
chemotaxis,response to stimulus,+
cholesterol binding,metabolic process,+
cholesterol biosynthetic process,metabolic process,+
cholesterol homeostasis,other,+
cholesterol transport,transport,+
chondrocyte development,morphogenesis/development,+
chondrocyte differentiation,morphogenesis/development,+
chondrocyte proliferation,cell cycle,+
chondroitin sulfate proteoglycan biosynthetic process,metabolic process,+
chordate embryonic development,morphogenesis/development,+
chromatin binding,gene regulation,+
chromatin DNA binding,gene regulation,+
chromatin organization,cell cycle,+
chromatin remodeling,cell cycle,+
chromosome condensation,cell cycle,+
chromosome localization,cell cycle,+
chromosome organization,cell cycle,+
chromosome organization involved in meiotic cell cycle,cell cycle,+
chromosome segregation,cell cycle,+
chromosome separation,cell cycle,+
chronic inflammatory response,stress response,+
cilium-dependent cell motility,other,+
cilium assembly,cellular component organization,+
cilium or flagellum-dependent cell motility,other,+
cilium organization,cellular component organization,+
circadian regulation of gene expression,gene regulation,+
circadian rhythm,other,+
circulatory system process,multicellular organismal process,+
clathrin-dependent endocytosis,transport,+
clathrin adaptor activity,transport,+
clathrin binding,cellular component organization,+
CoA-ligase activity,metabolic process,+
coagulation,multicellular organismal process,+
coated vesicle membrane,cellular component organization,+
cochlea development,morphogenesis/development,+
coenzyme A metabolic process,metabolic process,+
cognition,neural related process,+
collagen-activated signaling pathway,receptor related process,+
collagen-activated tyrosine kinase receptor signaling pathway,receptor related process,+
collagen-containing extracellular matrix,cellular component organization,+
collagen binding,cellular component organization,+
collagen metabolic process,metabolic process,+
collateral sprouting,morphogenesis/development,+
columnar/cuboidal epithelial cell differentiation,morphogenesis/development,+
commissural neuron axon guidance,neural related process,+
connective tissue development,morphogenesis/development,+
connective tissue replacement,multicellular organismal process,+
constitutive heterochromatin formation,gene regulation,+
COPII-coated ER to Golgi transport vesicle,ER/endosome/lysosome related process,+
COPII-coated vesicle budding,transport,+
copper ion homeostasis,other,+
copper ion transport,transport,+
core mediator complex,gene regulation,+
core promoter sequence-specific DNA binding,gene regulation,+
cornified envelope,morphogenesis/development,+
coronary vasculature development,morphogenesis/development,+
coronary vasculature morphogenesis,morphogenesis/development,+
cortical actin cytoskeleton,cellular component organization,+
cortical actin cytoskeleton organization,cellular component organization,+
cortical cytoskeleton organization,cellular component organization,+
corticosteroid receptor signaling pathway,receptor related process,+
cranial nerve development,immune system process,+
cristae formation,cellular component organization,+
CXCR chemokine receptor binding,immune system process,+
cyclic nucleotide binding,other,+
cyclin-dependent protein serine/threonine kinase regulator activity,cell cycle,+
cyclin binding,cell cycle,+
cysteine-type endopeptidase regulator activity involved in apoptotic process,cell death,+
cysteine-type peptidase activity,cell death,+
cysteine metabolic process,metabolic process,+
cytochrome-c oxidase activity,metabolic process,+
cytochrome complex assembly,cellular component organization,+
cytokine-mediated signaling pathway,immune system process,+
cytokine activity,immune system process,+
cytokine binding,immune system process,+
cytokine production,immune system process,+
cytokine production involved in immune response,immune system process,+
cytokine receptor activity,immune system process,+
cytokine receptor binding,immune system process,+
cytoplasmic ribonucleoprotein granule,cellular component organization,+
cytoplasmic sequestering of protein,other,+
cytoplasmic sequestering of transcription factor,gene regulation,+
cytoplasmic side of membrane,cellular component organization,+
cytoplasmic translation,gene regulation,+
cytoplasmic translational initiation,gene regulation,+
cytoskeletal motor activity,other,+
cytoskeletal protein binding,cellular component organization,+
cytoskeleton-dependent intracellular transport,transport,+
cytosolic transport,transport,+
damaged DNA binding,stress response,+
decidualization,multicellular organismal process,+
defense response to bacterium,stress response,+
defense response to Gram-negative bacterium,stress response,+
defense response to Gram-positive bacterium,immune system process,+
defense response to protozoan,stress response,+
defense response to symbiont,stress response,+
defense response to virus,viral related process,+
definitive hemopoiesis,morphogenesis/development,+
demethylation,protein modification/signaling,+
dendrite morphogenesis,neural related process,+
dendritic cell chemotaxis,neural related process,+
dendritic cell differentiation,morphogenesis/development,+
dendritic shaft,neural related process,+
dendritic spine,neural related process,+
dendritic spine development,neural related process,+
deoxyribonucleoside metabolic process,metabolic process,+
deoxyribonucleotide metabolic process,metabolic process,+
deoxyribose phosphate biosynthetic process,metabolic process,+
deoxyribose phosphate metabolic process,metabolic process,+
dephosphorylation,protein modification/signaling,+
desensitization of G protein-coupled receptor signaling pathway,receptor related process,+
detection of mechanical stimulus involved in sensory perception of pain,neural related process,+
detoxification,response to stimulus,+
development of primary female sexual characteristics,morphogenesis/development,+
development of primary male sexual characteristics,morphogenesis/development,+
development of primary sexual characteristics,morphogenesis/development,+
developmental cell growth,morphogenesis/development,+
developmental growth,morphogenesis/development,+
developmental growth involved in morphogenesis,morphogenesis/development,+
developmental induction,morphogenesis/development,+
developmental maturation,morphogenesis/development,+
dicarboxylic acid metabolic process,metabolic process,+
dicarboxylic acid transport,transport,+
diencephalon development,neural related process,+
digestive system development,morphogenesis/development,+
digestive system process,multicellular organismal process,+
digestive tract development,morphogenesis/development,+
diol biosynthetic process,metabolic process,+
distal axon,neural related process,+
distal tubule development,morphogenesis/development,+
diterpenoid biosynthetic process,metabolic process,+
diterpenoid metabolic process,metabolic process,+
DNA-binding transcription activator activity,gene regulation,+
"DNA-binding transcription activator activity, RNA polymerase II-specific",gene regulation,+
DNA-binding transcription factor binding,gene regulation,+
DNA-binding transcription repressor activity,gene regulation,+
"DNA-binding transcription repressor activity, RNA polymerase II-specific",gene regulation,+
DNA-directed 5'-3' RNA polymerase activity,gene regulation,+
DNA-directed DNA polymerase activity,cell cycle,+
DNA-templated DNA replication,cell cycle,+
DNA-templated DNA replication maintenance of fidelity,cell cycle,+
DNA-templated transcription elongation,gene regulation,+
DNA-templated transcription initiation,gene regulation,+
DNA-templated transcription termination,gene regulation,+
DNA biosynthetic process,cell cycle,+
DNA conformation change,cell cycle,+
DNA damage checkpoint signaling,cell cycle,+
DNA damage response,stress response,+
"DNA damage response, signal transduction by p53 class mediator",stress response,+
"DNA damage response, signal transduction resulting in transcription",stress response,+
DNA dealkylation,gene regulation,+
DNA double-strand break processing,stress response,+
DNA duplex unwinding,cell cycle,+
DNA exonuclease activity,cell cycle,+
DNA geometric change,cell cycle,+
DNA integration,other,+
DNA integrity checkpoint signaling,cell cycle,+
DNA ligation,cell cycle,+
DNA methylation-dependent heterochromatin formation,gene regulation,+
DNA modification,gene regulation,+
DNA polymerase binding,cell cycle,+
DNA recombination,cell cycle,+
DNA repair,stress response,+
DNA replication,cell cycle,+
DNA replication checkpoint signaling,cell cycle,+
DNA replication initiation,cell cycle,+
DNA replication origin binding,cell cycle,+
DNA secondary structure binding,gene regulation,+
DNA strand elongation,cell cycle,+
DNA strand elongation involved in DNA replication,cell cycle,+
DNA unwinding involved in DNA replication,cell cycle,+
dolichol-linked oligosaccharide biosynthetic process,metabolic process,+
dopamine receptor signaling pathway,receptor related process,+
double-strand break repair,stress response,+
double-strand break repair via break-induced replication,stress response,+
double-strand break repair via homologous recombination,stress response,+
double-strand break repair via nonhomologous end joining,stress response,+
double-stranded RNA binding,immune system process,+
dynein light intermediate chain binding,cellular component organization,+
early endosome,ER/endosome/lysosome related process,+
early endosome to late endosome transport,ER/endosome/lysosome related process,+
ectodermal placode development,morphogenesis/development,+
electron transport chain,metabolic process,+
embryo development ending in birth or egg hatching,morphogenesis/development,+
embryo implantation,multicellular organismal process,+
embryonic eye morphogenesis,morphogenesis/development,+
embryonic hemopoiesis,morphogenesis/development,+
embryonic organ development,morphogenesis/development,+
embryonic organ morphogenesis,morphogenesis/development,+
endocardium development,morphogenesis/development,+
endochondral bone morphogenesis,morphogenesis/development,+
endocrine hormone secretion,multicellular organismal process,+
endocrine system development,morphogenesis/development,+
endocytic recycling,transport,+
endocytic vesicle,ER/endosome/lysosome related process,+
endocytosis,transport,+
endoderm development,morphogenesis/development,+
endodermal cell differentiation,morphogenesis/development,+
endolysosomal toll-like receptor signaling pathway,immune system process,+
endomembrane system organization,cellular component organization,+
endonuclease activity,metabolic process,+
endopeptidase activity,cell death,+
endopeptidase complex,cell death,+
endopeptidase regulator activity,metabolic process,+
endoplasmic reticulum-Golgi intermediate compartment,ER/endosome/lysosome related process,+
endoplasmic reticulum calcium ion homeostasis,ER/endosome/lysosome related process,+
endoplasmic reticulum exit site,ER/endosome/lysosome related process,+
endoplasmic reticulum lumen,ER/endosome/lysosome related process,+
endoplasmic reticulum organization,ER/endosome/lysosome related process,+
endoplasmic reticulum quality control compartment,ER/endosome/lysosome related process,+
endoplasmic reticulum to cytosol transport,ER/endosome/lysosome related process,+
endoplasmic reticulum to Golgi vesicle-mediated transport,ER/endosome/lysosome related process,+
endoplasmic reticulum tubular network organization,ER/endosome/lysosome related process,+
endoplasmic reticulum unfolded protein response,stress response,+
endosomal lumen acidification,ER/endosome/lysosome related process,+
endosomal transport,ER/endosome/lysosome related process,+
endosome organization,ER/endosome/lysosome related process,+
endothelial cell apoptotic process,cell death,+
endothelial cell development,morphogenesis/development,+
endothelial cell differentiation,morphogenesis/development,+
endothelial cell migration,multicellular organismal process,+
endothelial cell proliferation,cell cycle,+
endothelium development,morphogenesis/development,+
energy derivation by oxidation of organic compounds,metabolic process,+
energy homeostasis,multicellular organismal process,+
ensheathment of neurons,neural related process,+
entrainment of circadian clock,response to stimulus,+
entry into host,other,+
enzyme-linked receptor protein signaling pathway,receptor related process,+
enzyme activator activity,metabolic process,+
enzyme inhibitor activity,protein modification/signaling,+
eosinophil migration,immune system process,+
ephrin receptor signaling pathway,receptor related process,+
epiboly,morphogenesis/development,+
epiboly involved in wound healing,stress response,+
epidermal cell differentiation,morphogenesis/development,+
epidermal growth factor receptor binding,receptor related process,+
epidermal growth factor receptor signaling pathway,receptor related process,+
epidermis development,morphogenesis/development,+
epigenetic regulation of gene expression,gene regulation,+
epithelial cell-cell adhesion,cell adhesion,+
epithelial cell apoptotic process,cell death,+
epithelial cell development,morphogenesis/development,+
epithelial cell differentiation,morphogenesis/development,+
epithelial cell migration,multicellular organismal process,+
epithelial cell proliferation,cell cycle,+
epithelial cell proliferation involved in liver morphogenesis,cell cycle,+
epithelial to mesenchymal transition,morphogenesis/development,+
epithelial tube morphogenesis,morphogenesis/development,+
epithelium migration,multicellular organismal process,+
ER-associated misfolded protein catabolic process,ER/endosome/lysosome related process,+
ER-nucleus signaling pathway,ER/endosome/lysosome related process,+
ERAD pathway,ER/endosome/lysosome related process,+
ERBB signaling pathway,receptor related process,+
ERBB2 signaling pathway,receptor related process,+
ERBB4 signaling pathway,receptor related process,+
ERK1 and ERK2 cascade,protein modification/signaling,+
erythrocyte differentiation,morphogenesis/development,+
erythrocyte homeostasis,multicellular organismal process,+
establishment of cell polarity,cellular component organization,+
establishment of chromosome localization,cell cycle,+
establishment of mitotic spindle localization,cell cycle,+
establishment of organelle localization,cellular component organization,+
establishment of planar polarity,cellular component organization,+
establishment of planar polarity of embryonic epithelium,cellular component organization,+
establishment of protein localization to membrane,transport,+
establishment of protein localization to vacuole,transport,+
establishment of RNA localization,transport,+
establishment of sister chromatid cohesion,cell cycle,+
establishment of skin barrier,multicellular organismal process,+
establishment of spindle localization,cell cycle,+
establishment of tissue polarity,multicellular organismal process,+
establishment of vesicle localization,transport,+
establishment or maintenance of apical/basal cell polarity,cellular component organization,+
establishment or maintenance of bipolar cell polarity,cellular component organization,+
establishment or maintenance of cell polarity,cellular component organization,+
establishment or maintenance of epithelial cell apical/basal polarity,cellular component organization,+
ethanol metabolic process,metabolic process,+
ether biosynthetic process,metabolic process,+
excitatory synapse,neural related process,+
execution phase of apoptosis,cell death,+
exocytosis,transport,+
